Ensembl,logFC,FDR,Symbol,Genename,Chromosome
ENSG00000225663,0.453780872,0.210306417,MCRIP1,MAPK regulated corepressor interacting protein 1,17
ENSG00000159069,0.362893686,0.210435001,FBXW5,F-box and WD repeat domain containing 5,9
ENSG00000204227,0.247035051,0.210445951,RING1,ring finger protein 1,6
ENSG00000124702,-0.369470841,0.210611544,KLHDC3,kelch domain containing 3,6
ENSG00000162604,-0.297461107,0.210611544,TM2D1,TM2 domain containing 1,1
ENSG00000167528,-0.250176342,0.210646564,ZNF641,zinc finger protein 641,12
ENSG00000147677,-0.280975464,0.210791193,EIF3H,eukaryotic translation initiation factor 3 subunit H,8
ENSG00000068383,-0.232901399,0.210836795,INPP5A,inositol polyphosphate-5-phosphatase A,10
ENSG00000102743,-0.348473309,0.210911283,SLC25A15,solute carrier family 25 member 15,13
ENSG00000185737,-0.270794859,0.21151424,NRG3,neuregulin 3,10
ENSG00000074657,0.289685917,0.211600468,ZNF532,zinc finger protein 532,18
ENSG00000069431,0.301083865,0.211791417,ABCC9,ATP binding cassette subfamily C member 9,12
ENSG00000198286,0.40162896,0.211806201,CARD11,caspase recruitment domain family member 11,7
ENSG00000163785,-0.256976043,0.212088196,RYK,receptor like tyrosine kinase,3
ENSG00000138050,-0.284836135,0.212332668,THUMPD2,THUMP domain containing 2,2
ENSG00000170571,-0.474763357,0.212705278,EMB,embigin,5
ENSG00000129159,0.296378546,0.212773508,KCNC1,potassium voltage-gated channel subfamily C member 1,11
ENSG00000167635,-0.262022379,0.212886515,ZNF146,zinc finger protein 146,19
ENSG00000198746,0.311256854,0.212952534,GPATCH3,G-patch domain containing 3,1
ENSG00000121316,0.585880793,0.213070943,PLBD1,phospholipase B domain containing 1,12
ENSG00000078596,-0.288166963,0.213669321,ITM2A,integral membrane protein 2A,X
ENSG00000151304,-0.266114167,0.213669321,SRFBP1,serum response factor binding protein 1,5
ENSG00000105402,-0.293121599,0.213824075,NAPA,NSF attachment protein alpha,19
ENSG00000173011,0.259676833,0.213879313,TADA2B,transcriptional adaptor 2B,4
ENSG00000159917,0.262267261,0.213908203,ZNF235,zinc finger protein 235,19
ENSG00000138231,-0.318998793,0.213908203,DBR1,debranching RNA lariats 1,3
ENSG00000171612,-0.270683951,0.213908203,SLC25A33,solute carrier family 25 member 33,1
ENSG00000133704,-0.230882507,0.214532473,IPO8,importin 8,12
ENSG00000130813,0.259290987,0.214573338,SHFL,shiftless antiviral inhibitor of ribosomal frameshifting,19
ENSG00000183527,-0.333780579,0.214657768,PSMG1,proteasome assembly chaperone 1,21
ENSG00000141298,0.234376357,0.214707299,SSH2,slingshot protein phosphatase 2,17
ENSG00000149260,0.308100007,0.21483604,CAPN5,calpain 5,11
ENSG00000114541,0.391397977,0.21483604,FRMD4B,FERM domain containing 4B,3
ENSG00000130150,-0.331977101,0.21513771,MOSPD2,motile sperm domain containing 2,X
ENSG00000121680,0.383436915,0.215186037,PEX16,peroxisomal biogenesis factor 16,11
ENSG00000170619,0.348131418,0.215186037,COMMD5,COMM domain containing 5,8
ENSG00000152784,-0.26797749,0.215233364,PRDM8,PR/SET domain 8,4
ENSG00000167565,0.446618597,0.215310273,SERTAD3,SERTA domain containing 3,19
ENSG00000114739,0.214635691,0.215389474,ACVR2B,activin A receptor type 2B,3
ENSG00000197747,0.406967954,0.215432733,S100A10,S100 calcium binding protein A10,1
ENSG00000103184,0.342663951,0.215548696,SEC14L5,SEC14 like lipid binding 5,16
ENSG00000108239,-0.297544248,0.215548696,TBC1D12,TBC1 domain family member 12,10
ENSG00000175550,-0.239534597,0.215596105,DRAP1,DR1 associated protein 1,11
ENSG00000171793,-0.225968524,0.215637918,CTPS1,CTP synthase 1,1
ENSG00000204278,0.530072858,0.215679478,TMEM235,transmembrane protein 235,17
ENSG00000105722,0.54421604,0.215715908,ERF,ETS2 repressor factor,19
ENSG00000238227,0.442056211,0.21574435,TMEM250,transmembrane protein 250,9
ENSG00000120910,-0.239684397,0.215825154,PPP3CC,protein phosphatase 3 catalytic subunit gamma,8
ENSG00000139725,0.416396132,0.215833155,RHOF,"ras homolog family member F, filopodia associated",12
ENSG00000213930,0.279131382,0.215833155,GALT,galactose-1-phosphate uridylyltransferase,9
ENSG00000165168,0.607094882,0.215885585,CYBB,cytochrome b-245 beta chain,X
ENSG00000169136,0.372113757,0.216100491,ATF5,activating transcription factor 5,19
ENSG00000159214,0.391551047,0.21634317,CCDC24,coiled-coil domain containing 24,1
ENSG00000077549,-0.212863225,0.216590944,CAPZB,capping actin protein of muscle Z-line subunit beta,1
ENSG00000198538,0.265939753,0.216613125,ZNF28,zinc finger protein 28,19
ENSG00000092439,-0.222629897,0.216615391,TRPM7,transient receptor potential cation channel subfamily M member 7,15
ENSG00000171824,0.263070363,0.216615391,EXOSC10,exosome component 10,1
ENSG00000075461,0.370724558,0.217056715,CACNG4,calcium voltage-gated channel auxiliary subunit gamma 4,17
ENSG00000155592,-0.233724787,0.2176635,ZKSCAN2,zinc finger with KRAB and SCAN domains 2,16
ENSG00000204970,-0.464233155,0.218074027,PCDHA1,protocadherin alpha 1,5
ENSG00000006071,0.291163983,0.21819507,ABCC8,ATP binding cassette subfamily C member 8,11
ENSG00000137171,0.291631626,0.218383924,KLC4,kinesin light chain 4,6
ENSG00000188994,-0.272789459,0.218433275,ZNF292,zinc finger protein 292,6
ENSG00000171962,0.469215633,0.218674867,DRC3,dynein regulatory complex subunit 3,17
ENSG00000276293,-0.225810884,0.218685901,PIP4K2B,phosphatidylinositol-5-phosphate 4-kinase type 2 beta,17
ENSG00000239305,-0.258985611,0.218765888,RNF103,ring finger protein 103,2
ENSG00000168172,-0.246968428,0.218997377,HOOK3,hook microtubule tethering protein 3,8
ENSG00000127980,-0.287363767,0.219261082,PEX1,peroxisomal biogenesis factor 1,7
ENSG00000175581,-0.359742307,0.219284359,MRPL48,mitochondrial ribosomal protein L48,11
ENSG00000146729,-0.249508699,0.219380309,NIPSNAP2,nipsnap homolog 2,7
ENSG00000158669,0.270409447,0.219591156,GPAT4,glycerol-3-phosphate acyltransferase 4,8
ENSG00000112249,-0.246510163,0.219591156,ASCC3,activating signal cointegrator 1 complex subunit 3,6
ENSG00000224982,-0.517805241,0.219773239,TMEM233,transmembrane protein 233,12
ENSG00000188064,0.572735872,0.2200882,WNT7B,Wnt family member 7B,22
ENSG00000120341,-0.455413854,0.220121562,SEC16B,"SEC16 homolog B, endoplasmic reticulum export factor",1
ENSG00000215845,-0.4386974,0.220345281,TSTD1,thiosulfate sulfurtransferase like domain containing 1,1
ENSG00000146147,-0.317484418,0.220350557,MLIP,muscular LMNA interacting protein,6
ENSG00000274512,1.075550756,0.220527678,TBC1D3,TBC1 domain family member 3,17
ENSG00000137500,-0.27471673,0.22058631,CCDC90B,coiled-coil domain containing 90B,11
ENSG00000169047,0.296350432,0.22058631,IRS1,insulin receptor substrate 1,2
ENSG00000111481,-0.243851437,0.220708368,COPZ1,coatomer protein complex subunit zeta 1,12
ENSG00000174547,-0.306755845,0.220754641,MRPL11,mitochondrial ribosomal protein L11,11
ENSG00000184271,0.291861787,0.220775578,POU6F1,POU class 6 homeobox 1,12
ENSG00000184840,0.270746499,0.220775578,TMED9,transmembrane p24 trafficking protein 9,5
ENSG00000164758,-0.337759192,0.22092679,MED30,mediator complex subunit 30,8
ENSG00000074582,0.295817713,0.2209989,BCS1L,"BCS1 homolog, ubiquinol-cytochrome c reductase complex chaperone",2
ENSG00000157349,0.254325578,0.221636568,DDX19B,DEAD-box helicase 19B,16
ENSG00000116649,0.311477775,0.221636568,SRM,spermidine synthase,1
ENSG00000169249,0.287166969,0.222069038,ZRSR2,"zinc finger CCCH-type, RNA binding motif and serine/arginine rich 2",X
ENSG00000146233,0.458616542,0.222069038,CYP39A1,cytochrome P450 family 39 subfamily A member 1,6
ENSG00000128050,-0.25626698,0.222193743,PAICS,phosphoribosylaminoimidazole carboxylase and phosphoribosylaminoimidazolesuccinocarboxamide synthase,4
ENSG00000075975,-0.25476834,0.222193743,MKRN2,makorin ring finger protein 2,3
ENSG00000167641,0.528625625,0.222289009,PPP1R14A,protein phosphatase 1 regulatory inhibitor subunit 14A,19
ENSG00000128524,-0.405896079,0.222502798,ATP6V1F,ATPase H+ transporting V1 subunit F,7
ENSG00000068903,0.365370914,0.222524348,SIRT2,sirtuin 2,19
ENSG00000141258,0.306974586,0.222524348,SGSM2,small G protein signaling modulator 2,17
ENSG00000176542,-0.232574799,0.222524348,USF3,upstream transcription factor family member 3,3
ENSG00000163273,-0.534677018,0.222524348,NPPC,natriuretic peptide C,2
ENSG00000106113,0.489312948,0.222599443,CRHR2,corticotropin releasing hormone receptor 2,7
ENSG00000155850,0.323862405,0.222779238,SLC26A2,solute carrier family 26 member 2,5
ENSG00000168826,-0.271749533,0.222779238,ZBTB49,zinc finger and BTB domain containing 49,4
ENSG00000108387,0.340257963,0.222786244,SEPTIN4,septin 4,17
ENSG00000160229,0.356414827,0.223054109,ZNF66,zinc finger protein 66,19
ENSG00000198265,-0.237300977,0.223076688,HELZ,helicase with zinc finger,17
ENSG00000164638,0.457208191,0.22309273,SLC29A4,solute carrier family 29 member 4,7
ENSG00000162813,-0.294905935,0.223136277,BPNT1,"3'(2'), 5'-bisphosphate nucleotidase 1",1
ENSG00000176788,-0.313861522,0.223367196,BASP1,brain abundant membrane attached signal protein 1,5
ENSG00000143340,0.480855401,0.223425068,FAM163A,family with sequence similarity 163 member A,1
ENSG00000160877,0.390742755,0.223544491,NACC1,nucleus accumbens associated 1,19
ENSG00000196683,-0.319512229,0.223544491,TOMM7,translocase of outer mitochondrial membrane 7,7
ENSG00000128000,-0.209664111,0.223759969,ZNF780B,zinc finger protein 780B,19
ENSG00000123999,0.631805976,0.223782628,INHA,inhibin subunit alpha,2
ENSG00000103066,0.467845077,0.224056205,PLA2G15,phospholipase A2 group XV,16
ENSG00000171791,0.252446628,0.224119456,BCL2,BCL2 apoptosis regulator,18
ENSG00000187815,-0.309660315,0.224257415,ZFP69,ZFP69 zinc finger protein,1
ENSG00000008394,0.371729701,0.224264726,MGST1,microsomal glutathione S-transferase 1,12
ENSG00000051128,0.507739068,0.224315476,HOMER3,homer scaffold protein 3,19
ENSG00000006377,-0.471174733,0.224319284,DLX6,distal-less homeobox 6,7
ENSG00000109861,0.419767798,0.224336579,CTSC,cathepsin C,11
ENSG00000185668,0.474046977,0.224445759,POU3F1,POU class 3 homeobox 1,1
ENSG00000145198,0.348367324,0.224479768,VWA5B2,von Willebrand factor A domain containing 5B2,3
ENSG00000039139,-0.389933756,0.224645677,DNAH5,dynein axonemal heavy chain 5,5
ENSG00000148606,-0.220551879,0.224919354,POLR3A,RNA polymerase III subunit A,10
ENSG00000145284,-0.262111683,0.22512325,SCD5,stearoyl-CoA desaturase 5,4
ENSG00000142731,-0.407713649,0.225147126,PLK4,polo like kinase 4,4
ENSG00000007376,0.462410697,0.225301331,RPUSD1,RNA pseudouridine synthase domain containing 1,16
ENSG00000165553,0.454156863,0.225390938,NGB,neuroglobin,14
ENSG00000148730,0.263526688,0.225562905,EIF4EBP2,eukaryotic translation initiation factor 4E binding protein 2,10
ENSG00000072501,0.245218002,0.225588661,SMC1A,structural maintenance of chromosomes 1A,X
ENSG00000119725,0.351431814,0.22560746,ZNF410,zinc finger protein 410,14
ENSG00000168175,-0.214142659,0.225621736,MAPK1IP1L,mitogen-activated protein kinase 1 interacting protein 1 like,14
ENSG00000138085,0.295497558,0.225636062,ATRAID,all-trans retinoic acid induced differentiation factor,2
ENSG00000158828,-0.260084595,0.225649012,PINK1,PTEN induced kinase 1,1
ENSG00000240303,0.30490317,0.225762947,ACAD11,acyl-CoA dehydrogenase family member 11,3
ENSG00000167118,0.302361793,0.225982583,URM1,ubiquitin related modifier 1,9
ENSG00000162104,0.265292502,0.226225321,ADCY9,adenylate cyclase 9,16
ENSG00000163430,0.24184164,0.226225321,FSTL1,follistatin like 1,3
ENSG00000092054,0.384404859,0.226269698,MYH7,myosin heavy chain 7,14
ENSG00000213341,-0.228844411,0.226269698,CHUK,component of inhibitor of nuclear factor kappa B kinase complex,10
ENSG00000196511,-0.297346881,0.226426516,TPK1,thiamin pyrophosphokinase 1,7
ENSG00000213965,0.339485403,0.226770437,NUDT19,nudix hydrolase 19,19
ENSG00000213995,0.262948595,0.226770437,NAXD,NAD(P)HX dehydratase,13
ENSG00000175664,-0.537139597,0.226858299,TEX26,testis expressed 26,13
ENSG00000240445,0.30755399,0.226917409,FOXO3B,forkhead box O3B,17
ENSG00000108100,-0.207845165,0.226917409,CCNY,cyclin Y,10
ENSG00000049245,0.266721333,0.226920452,VAMP3,vesicle associated membrane protein 3,1
ENSG00000168067,0.27763383,0.227006403,MAP4K2,mitogen-activated protein kinase kinase kinase kinase 2,11
ENSG00000078618,-0.192610483,0.227006403,NRDC,nardilysin convertase,1
ENSG00000106333,0.598708413,0.227125628,PCOLCE,procollagen C-endopeptidase enhancer,7
ENSG00000086189,-0.283088509,0.227125628,DIMT1,DIMT1 rRNA methyltransferase and ribosome maturation factor,5
ENSG00000100280,0.281789493,0.227142443,AP1B1,adaptor related protein complex 1 subunit beta 1,22
ENSG00000103241,0.592168731,0.227195635,FOXF1,forkhead box F1,16
ENSG00000111667,-0.28857677,0.227330455,USP5,ubiquitin specific peptidase 5,12
ENSG00000151461,-0.266418891,0.227399939,UPF2,UPF2 regulator of nonsense mediated mRNA decay,10
ENSG00000198846,-0.313989282,0.227466344,TOX,thymocyte selection associated high mobility group box,8
ENSG00000203666,0.306555298,0.227571994,EFCAB2,EF-hand calcium binding domain 2,1
ENSG00000189184,-0.342961499,0.227832684,PCDH18,protocadherin 18,4
ENSG00000163235,0.369328882,0.227911954,TGFA,transforming growth factor alpha,2
ENSG00000147804,0.507059883,0.227990203,SLC39A4,solute carrier family 39 member 4,8
ENSG00000122966,0.278371985,0.22812802,CIT,citron rho-interacting serine/threonine kinase,12
ENSG00000159885,-0.314456851,0.228163278,ZNF222,zinc finger protein 222,19
ENSG00000049089,0.42897767,0.228163278,COL9A2,collagen type IX alpha 2 chain,1
ENSG00000117139,-0.212802418,0.228232521,KDM5B,lysine demethylase 5B,1
ENSG00000134758,-0.270228219,0.22834757,RNF138,ring finger protein 138,18
ENSG00000152822,-0.321828708,0.228382436,GRM1,glutamate metabotropic receptor 1,6
ENSG00000231500,0.234792769,0.22865592,RPS18,ribosomal protein S18,6
ENSG00000147231,-0.337301954,0.22866699,RADX,"RPA1 related single stranded DNA binding protein, X-linked",X
ENSG00000125779,-0.224535659,0.22866699,PANK2,pantothenate kinase 2,20
ENSG00000147687,-0.303400582,0.22866699,TATDN1,TatD DNase domain containing 1,8
ENSG00000164076,-0.341910307,0.22866699,CAMKV,CaM kinase like vesicle associated,3
ENSG00000145358,0.433212873,0.228706093,DDIT4L,DNA damage inducible transcript 4 like,4
ENSG00000185009,-0.24105372,0.228892426,AP3M1,adaptor related protein complex 3 subunit mu 1,10
ENSG00000135519,0.420183619,0.229055705,KCNH3,potassium voltage-gated channel subfamily H member 3,12
ENSG00000169964,0.307149465,0.229070081,TMEM42,transmembrane protein 42,3
ENSG00000180884,0.289647066,0.229074608,ZNF792,zinc finger protein 792,19
ENSG00000196182,0.358056843,0.229288632,STK40,serine/threonine kinase 40,1
ENSG00000204314,0.32511169,0.2293546,PRRT1,proline rich transmembrane protein 1,6
ENSG00000171385,-0.287825661,0.229564539,KCND3,potassium voltage-gated channel subfamily D member 3,1
ENSG00000149927,-0.356710355,0.229627797,DOC2A,double C2 domain alpha,16
ENSG00000130522,0.436006884,0.229637262,JUND,"JunD proto-oncogene, AP-1 transcription factor subunit",19
ENSG00000155754,0.399666212,0.229797751,C2CD6,C2 calcium dependent domain containing 6,2
ENSG00000011523,-0.211165763,0.229815298,CEP68,centrosomal protein 68,2
ENSG00000255408,0.385647667,0.229903049,PCDHA3,protocadherin alpha 3,5
ENSG00000105270,-0.301253498,0.229910405,CLIP3,CAP-Gly domain containing linker protein 3,19
ENSG00000169504,0.378514485,0.229910405,CLIC4,chloride intracellular channel 4,1
ENSG00000132612,0.338398345,0.229923743,VPS4A,vacuolar protein sorting 4 homolog A,16
ENSG00000081791,0.213263444,0.230000982,DELE1,DAP3 binding cell death enhancer 1,5
ENSG00000148339,-0.259962833,0.230009825,SLC25A25,solute carrier family 25 member 25,9
ENSG00000149289,0.233744311,0.230149695,ZC3H12C,zinc finger CCCH-type containing 12C,11
ENSG00000175213,0.353388623,0.230268885,ZNF408,zinc finger protein 408,11
ENSG00000185274,-0.279627972,0.23043365,GALNT17,polypeptide N-acetylgalactosaminyltransferase 17,7
ENSG00000197982,0.470630088,0.230631595,C1orf122,chromosome 1 open reading frame 122,1
ENSG00000028528,0.236852879,0.230634893,SNX1,sorting nexin 1,15
ENSG00000155858,-0.336800752,0.230755132,LSM11,"LSM11, U7 small nuclear RNA associated",5
ENSG00000276087,-0.505091826,0.230758011,NA,NA,NA
ENSG00000111252,0.275981094,0.230758011,SH2B3,SH2B adaptor protein 3,12
ENSG00000198730,-0.224748587,0.231042654,CTR9,"CTR9 homolog, Paf1/RNA polymerase II complex component",11
ENSG00000112200,-0.248361681,0.231050323,ZNF451,zinc finger protein 451,6
ENSG00000135749,-0.239425651,0.231251074,PCNX2,pecanex 2,1
ENSG00000158796,0.245343859,0.231349955,DEDD,death effector domain containing,1
ENSG00000181222,0.214134044,0.231387356,POLR2A,RNA polymerase II subunit A,17
ENSG00000101452,-0.241707275,0.231759458,DHX35,DEAH-box helicase 35,20
ENSG00000062485,-0.25079138,0.231759458,CS,citrate synthase,12
ENSG00000169223,0.279620912,0.231830133,LMAN2,"lectin, mannose binding 2",5
ENSG00000049883,-0.253681923,0.231830133,PTCD2,pentatricopeptide repeat domain 2,5
ENSG00000198355,0.526703678,0.232250394,PIM3,"Pim-3 proto-oncogene, serine/threonine kinase",22
ENSG00000087258,0.251242199,0.232567624,GNAO1,G protein subunit alpha o1,16
ENSG00000225830,-0.222503862,0.232567624,ERCC6,"ERCC excision repair 6, chromatin remodeling factor",10
ENSG00000065485,0.35990132,0.232567624,PDIA5,protein disulfide isomerase family A member 5,3
ENSG00000166225,-0.26587739,0.232692793,FRS2,fibroblast growth factor receptor substrate 2,12
ENSG00000134590,-0.329449219,0.232927491,RTL8C,retrotransposon Gag like 8C,X
ENSG00000115825,0.297094391,0.232941053,PRKD3,protein kinase D3,2
ENSG00000130921,-0.232019374,0.233012807,C12orf65,chromosome 12 open reading frame 65,12
ENSG00000178449,-0.310352244,0.233074862,COX14,cytochrome c oxidase assembly factor COX14,12
ENSG00000062038,0.407951224,0.233133115,CDH3,cadherin 3,16
ENSG00000163040,0.4232152,0.23345174,CCDC74A,coiled-coil domain containing 74A,2
ENSG00000125458,0.390690402,0.233523459,NT5C,"5', 3'-nucleotidase, cytosolic",17
ENSG00000102738,-0.296467572,0.233753793,MRPS31,mitochondrial ribosomal protein S31,13
ENSG00000204209,0.251042823,0.233798207,DAXX,death domain associated protein,6
ENSG00000157216,-0.226857204,0.234042554,SSBP3,single stranded DNA binding protein 3,1
ENSG00000147586,0.390669609,0.234123525,MRPS28,mitochondrial ribosomal protein S28,8
ENSG00000131471,0.467514059,0.234195813,AOC3,amine oxidase copper containing 3,17
ENSG00000139289,-0.287741316,0.234195813,PHLDA1,pleckstrin homology like domain family A member 1,12
ENSG00000100814,-0.248074121,0.234543068,CCNB1IP1,cyclin B1 interacting protein 1,14
ENSG00000141665,0.355137872,0.234632583,FBXO15,F-box protein 15,18
ENSG00000221843,-0.352165145,0.234751614,C2orf16,chromosome 2 open reading frame 16,2
ENSG00000161980,-0.396202806,0.234803614,POLR3K,RNA polymerase III subunit K,16
ENSG00000114383,-0.326225862,0.234852439,TUSC2,"tumor suppressor 2, mitochondrial calcium regulator",3
ENSG00000184260,0.287123047,0.234852439,H2AC20,H2A clustered histone 20,1
ENSG00000174749,0.349642257,0.234938161,FAM241A,family with sequence similarity 241 member A,4
ENSG00000222014,0.503834632,0.234938161,RAB6C,"RAB6C, member RAS oncogene family",2
ENSG00000063244,0.283206896,0.235328061,U2AF2,U2 small nuclear RNA auxiliary factor 2,19
ENSG00000183850,0.474004271,0.235367369,ZNF730,zinc finger protein 730,19
ENSG00000147316,-0.228011509,0.235367369,MCPH1,microcephalin 1,8
ENSG00000115896,-0.306975412,0.235367369,PLCL1,phospholipase C like 1 (inactive),2
ENSG00000104356,-0.298974254,0.235466941,POP1,"POP1 homolog, ribonuclease P/MRP subunit",8
ENSG00000161249,0.411609684,0.235504364,DMKN,dermokine,19
ENSG00000122025,-0.398796549,0.235534912,FLT3,fms related tyrosine kinase 3,13
ENSG00000164342,0.500794672,0.235584735,TLR3,toll like receptor 3,4
ENSG00000158062,0.296396751,0.235625185,UBXN11,UBX domain protein 11,1
ENSG00000125991,0.228211986,0.236024938,ERGIC3,ERGIC and golgi 3,20
ENSG00000182180,-0.219629738,0.236179167,MRPS16,mitochondrial ribosomal protein S16,10
ENSG00000008988,-0.223167678,0.236299796,RPS20,ribosomal protein S20,8
ENSG00000183718,0.224139888,0.236299796,TRIM52,tripartite motif containing 52,5
ENSG00000116171,-0.259845454,0.236511386,SCP2,sterol carrier protein 2,1
ENSG00000067167,-0.254702419,0.23656997,TRAM1,translocation associated membrane protein 1,8
ENSG00000132254,-0.245942911,0.23657992,ARFIP2,ADP ribosylation factor interacting protein 2,11
ENSG00000224470,0.256268437,0.236630442,ATXN1L,ataxin 1 like,16
ENSG00000127362,0.340679045,0.236630442,TAS2R3,taste 2 receptor member 3,7
ENSG00000152217,-0.230463985,0.236818676,SETBP1,SET binding protein 1,18
ENSG00000148120,0.248373875,0.237078742,AOPEP,aminopeptidase O (putative),9
ENSG00000170776,0.238599712,0.237122682,AKAP13,A-kinase anchoring protein 13,15
ENSG00000014216,0.317829797,0.237122682,CAPN1,calpain 1,11
ENSG00000111674,-0.384421358,0.237349172,ENO2,enolase 2,12
ENSG00000107669,-0.22754713,0.2373541,ATE1,arginyltransferase 1,10
ENSG00000170515,-0.212231544,0.237370639,PA2G4,proliferation-associated 2G4,12
ENSG00000140398,0.309051955,0.237490228,NEIL1,nei like DNA glycosylase 1,15
ENSG00000126247,-0.336354504,0.237547738,CAPNS1,calpain small subunit 1,19
ENSG00000112655,0.342074249,0.237637044,PTK7,protein tyrosine kinase 7 (inactive),6
ENSG00000163888,0.346005329,0.237637044,CAMK2N2,calcium/calmodulin dependent protein kinase II inhibitor 2,3
ENSG00000070388,0.396267869,0.237709021,FGF22,fibroblast growth factor 22,19
ENSG00000165416,-0.26435653,0.237743787,SUGT1,"SGT1 homolog, MIS12 kinetochore complex assembly cochaperone",13
ENSG00000179119,-0.244807948,0.237901065,SPTY2D1,SPT2 chromatin protein domain containing 1,11
ENSG00000172889,0.465266609,0.237901065,EGFL7,EGF like domain multiple 7,9
ENSG00000125841,-0.376381589,0.238034486,NRSN2,neurensin 2,20
ENSG00000165046,-0.271556389,0.238044726,LETM2,leucine zipper and EF-hand containing transmembrane protein 2,8
ENSG00000130508,0.356297572,0.238044726,PXDN,peroxidasin,2
ENSG00000173402,0.224129017,0.238136275,DAG1,dystroglycan 1,3
ENSG00000138674,-0.222926758,0.238144172,SEC31A,"SEC31 homolog A, COPII coat complex component",4
ENSG00000176769,-0.320503552,0.2382674,TCERG1L,transcription elongation regulator 1 like,10
ENSG00000099849,0.474251106,0.238309134,RASSF7,Ras association domain family member 7,11
ENSG00000160948,0.322807302,0.238397102,VPS28,VPS28 subunit of ESCRT-I,8
ENSG00000162517,-0.32309975,0.238445186,PEF1,penta-EF-hand domain containing 1,1
ENSG00000243279,0.461341338,0.238516752,PRAF2,PRA1 domain family member 2,X
ENSG00000121988,-0.268050026,0.238516752,ZRANB3,zinc finger RANBP2-type containing 3,2
ENSG00000196275,0.460597807,0.238743946,GTF2IRD2,GTF2I repeat domain containing 2,7
ENSG00000137509,-0.276842164,0.238834558,PRCP,prolylcarboxypeptidase,11
ENSG00000114978,0.286801894,0.238834558,MOB1A,MOB kinase activator 1A,2
ENSG00000167196,-0.26372501,0.239067284,FBXO22,F-box protein 22,15
ENSG00000133116,-0.421570241,0.239902121,KL,klotho,13
ENSG00000011454,-0.238784856,0.239986041,GPR21,G protein-coupled receptor 21,9
ENSG00000141994,0.314302321,0.240174832,DUS3L,dihydrouridine synthase 3 like,19
ENSG00000015133,0.306696344,0.240294797,CCDC88C,coiled-coil domain containing 88C,14
ENSG00000147642,-0.330095997,0.240294797,SYBU,syntabulin,8
ENSG00000129351,0.209238978,0.24034895,ILF3,interleukin enhancer binding factor 3,19
ENSG00000128482,-0.312117,0.24038219,RNF112,ring finger protein 112,17
ENSG00000166130,0.372609471,0.240839389,IKBIP,IKBKB interacting protein,12
ENSG00000167654,-0.283780707,0.241331731,ATCAY,ATCAY kinesin light chain interacting caytaxin,19
ENSG00000108582,-0.244549182,0.241483936,CPD,carboxypeptidase D,17
ENSG00000138107,-0.240198685,0.241557939,ACTR1A,actin related protein 1A,10
ENSG00000145431,-0.297373159,0.241573205,PDGFC,platelet derived growth factor C,4
ENSG00000176953,0.227733873,0.241628762,NFATC2IP,nuclear factor of activated T cells 2 interacting protein,16
ENSG00000113194,-0.198884693,0.241628762,FAF2,Fas associated factor family member 2,5
ENSG00000204070,0.22394975,0.241631204,SYS1,SYS1 golgi trafficking protein,20
ENSG00000151694,-0.2493563,0.241956198,ADAM17,ADAM metallopeptidase domain 17,2
ENSG00000179144,0.396659161,0.241995228,GIMAP7,"GTPase, IMAP family member 7",7
ENSG00000115526,-0.223324633,0.241995228,CHST10,carbohydrate sulfotransferase 10,2
ENSG00000125966,0.294298767,0.242028351,MMP24,matrix metallopeptidase 24,20
ENSG00000162975,-0.393963157,0.242028351,KCNF1,potassium voltage-gated channel modifier subfamily F member 1,2
ENSG00000175387,-0.220121457,0.242116923,SMAD2,SMAD family member 2,18
ENSG00000100888,-0.20051663,0.242116923,CHD8,chromodomain helicase DNA binding protein 8,14
ENSG00000104368,0.340045895,0.242116923,PLAT,"plasminogen activator, tissue type",8
ENSG00000150637,0.370358078,0.242175368,CD226,CD226 molecule,18
ENSG00000165410,-0.342435971,0.242309626,CFL2,cofilin 2,14
ENSG00000100575,-0.294500731,0.242309626,TIMM9,translocase of inner mitochondrial membrane 9,14
ENSG00000102786,-0.220066546,0.242309626,INTS6,integrator complex subunit 6,13
ENSG00000066117,0.229737562,0.242309626,SMARCD1,"SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily d, member 1",12
ENSG00000196422,0.321517331,0.242309626,PPP1R26,protein phosphatase 1 regulatory subunit 26,9
ENSG00000179965,0.351748388,0.242332558,ZNF771,zinc finger protein 771,16
ENSG00000242866,0.526254248,0.242338648,STRC,stereocilin,15
ENSG00000004700,-0.262284565,0.242750926,RECQL,RecQ like helicase,12
ENSG00000110756,0.243101885,0.242877398,HPS5,HPS5 biogenesis of lysosomal organelles complex 2 subunit 2,11
ENSG00000174483,0.317320507,0.2432786,BBS1,Bardet-Biedl syndrome 1,11
ENSG00000137460,0.345346843,0.243562066,FHDC1,FH2 domain containing 1,4
ENSG00000094914,0.328166783,0.243641735,AAAS,aladin WD repeat nucleoporin,12
ENSG00000152910,-0.412153023,0.244029652,CNTNAP4,contactin associated protein like 4,16
ENSG00000156469,-0.319938534,0.244098469,MTERF3,mitochondrial transcription termination factor 3,8
ENSG00000134909,-0.272519686,0.244117683,ARHGAP32,Rho GTPase activating protein 32,11
ENSG00000188021,-0.257498173,0.244122197,UBQLN2,ubiquilin 2,X
ENSG00000197852,-0.256719709,0.244161049,INKA2,inka box actin regulator 2,1
ENSG00000123144,-0.262068805,0.244192867,TRIR,telomerase RNA component interacting RNase,19
